Student_ID,Age,Age_Group,Gender,Academic_Level,Country,Relationship_Status,Vulnerable_Group,Most_Used_Platform,Platform_Type,Avg_Daily_Usage_Hours,Usage_Intensity,Usage_Duration_Category,Addicted_Score,Addiction_Level,High_Risk_Addiction,Mental_Health_Score,Mental_Health_Category,Mental_Health_Detail,Sleep_Hours_Per_Night,Sleep_Quality,Sleep_Quality_Detail,Conflicts_Over_Social_Media,Conflict_Level,Academic_Impact_Label
1,19,16-19 (Sangat Muda),Perempuan,Sarjana,Bangladesh,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,5.2,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.5,Cukup,Cukup (6-7h),3,Sedang,Terdampak
2,22,20-22 (Muda),Laki-laki,Pascasarjana,India,Lajang,Tidak,Twitter,Teks/Diskusi,2.1,Sedang,Penggunaan Rendah (≤4 jam),3,Risiko Rendah,Tidak,8,Baik,Baik (8-10),7.5,Baik,Baik (7-9h),0,Tidak Ada,Tidak Terdampak
3,20,20-22 (Muda),Perempuan,Sarjana,USA,Rumit,Ya (Perempuan Muda),TikTok,Video Pendek,6.0,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,5,Sedang,Buruk (4-5),5.0,Kurang,Sangat Kurang (<5h),4,Sedang,Terdampak
4,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,UK,Lajang,Ya (Laki-laki Sangat Muda),YouTube,Video Panjang,3.0,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
5,21,20-22 (Muda),Laki-laki,Pascasarjana,Canada,Berpacaran,Tidak,Facebook,Sosial/Komunitas,4.5,Sedang,Penggunaan Tinggi (>4 jam),7,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),2,Rendah,Terdampak
6,19,16-19 (Sangat Muda),Perempuan,Sarjana,Australia,Rumit,Ya (Perempuan Muda),Instagram,Visual/Photo,7.2,Tinggi,Penggunaan Tinggi (>4 jam),9,Risiko Tinggi,Ya,4,Sedang,Buruk (4-5),4.5,Kurang,Sangat Kurang (<5h),5,Tinggi,Terdampak
7,23,23-25 (Dewasa Muda),Laki-laki,Pascasarjana,Germany,Lajang,Tidak,LinkedIn,Profesional,1.5,Rendah,Penggunaan Rendah (≤4 jam),2,Risiko Rendah,Tidak,9,Baik,Baik (8-10),8.0,Baik,Baik (7-9h),0,Tidak Ada,Tidak Terdampak
8,20,20-22 (Muda),Perempuan,Sarjana,Brazil,Berpacaran,Ya (Perempuan Muda),Snapchat,Visual/Photo,5.8,Tinggi,Penggunaan Tinggi (>4 jam),8,Risiko Sedang,Tidak,6,Sedang,Sedang (6-7),6.0,Kurang,Kurang (5-6h),2,Rendah,Terdampak
9,18,16-19 (Sangat Muda),Laki-laki,SMA/Sederajat,Japan,Lajang,Ya (Laki-laki Sangat Muda),TikTok,Video Pendek,4.0,Sedang,Penggunaan Rendah (≤4 jam),5,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),6.5,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
10,21,20-22 (Muda),Perempuan,Pascasarjana,South Korea,Berpacaran,Ya (Perempuan Muda),Instagram,Visual/Photo,3.3,Sedang,Penggunaan Rendah (≤4 jam),4,Risiko Rendah,Tidak,7,Baik,Sedang (6-7),7.0,Cukup,Cukup (6-7h),1,Rendah,Tidak Terdampak
